%FE,emulsion_temp,emulsion_pr,rod_quench_cw_exit,casting_wheel_rpm,rod_quench_cw_entry,rm_motor_cooling_water_pressure ,rolling_mill_amp,cool_water_flow,cooling_water_pressure,cooling_water_temp,rolling_mill_rpm,Grade_encoded,UTS,elongation,Conductivity,Grade
0.14,60.33837891,2.23433876,5.763248746,1.899151564,340.4599396,1.68069458,293.425293,125.1343994,4.191373098836635,40.75030676007239,886.31111079549,2,9.7,12.1,61.9,WE10
0.13,60.43080139,2.261400223,5.831913345,1.897540331,340.4589224,1.674152374,340.7275391,125.0979004,4.083867732335381,40.12955309218518,849.2024228374414,2,10.5,11.8,61.9,WE10
0.13,60.43080139,2.261400223,5.831913345,1.897540331,340.4589224,1.674152374,340.7275391,125.0979004,3.62418464242812,37.58218182092772,770.3553586870597,4,10.8,11.2,61.0,WE20
0.14,59.93179321,2.21767807,5.91564601,1.899957299,338.9050679,1.674734116,355.7128906,124.9515991,3.768071388225101,39.00842074777473,808.0579873106964,2,10.0,14.5,61.9,WE10
0.14,59.75582886,2.269937515,6.094110391,1.896533251,338.9783102,1.692504883,358.2104492,124.8446655,3.8128536224486416,36.39927969437674,828.8045634408248,2,10.1,14.0,61.6,WE10
0.14,59.75582886,2.269937515,6.094110391,1.896533251,338.9783102,1.692504883,358.2104492,124.8446655,4.45,40.52560264105515,880.1834015604978,2,10.0,14.8,61.7,WE10
0.13,59.61701965,2.223176956,6.141317304,1.899554491,337.8700127,1.689945221,341.4086914,124.7998657,4.260852114700733,39.027333714993176,779.7173460232265,2,9.9,15.4,61.7,WE10
0.13,59.61701965,2.223176956,6.141317304,1.899554491,337.8700127,1.689945221,341.4086914,124.7998657,3.7518468915397016,36.838935836841486,745.4535908930703,2,10.0,15.3,61.7,WE10
0.13,59.73214722,2.193370819,6.356021335,1.901568651,338.8007995,1.694332123,339.1381836,124.8476563,3.580331800036439,36.38695123439392,865.4903000272617,2,10.6,15.2,61.7,WE10
0.13,59.73214722,2.193370819,6.356021335,1.901568651,338.8007995,1.694332123,339.1381836,124.8476563,3.9340839942039727,35.60735001728684,748.0209487976041,2,10.4,13.4,61.7,WE10
0.13,59.78926086,2.204364777,6.385299157,1.900158644,339.680215,1.694742203,358.5131836,125.057373,4.257042475544777,37.644937529274216,933.87,2,9.8,15.5,61.7,WE10
0.13,59.78926086,2.204364777,6.385299157,1.900158644,339.680215,1.694742203,358.5131836,125.057373,4.45,41.96050266862857,747.5512181194578,2,9.8,16.3,61.7,WE10
0.13,59.84141541,2.146743774,6.440961988,1.897137403,340.1227202,1.695913315,313.0273438,125.0418701,4.305842310563658,36.98944198458905,832.1665295262443,2,9.7,12.9,61.7,WE10
0.13,59.89080811,2.167760849,6.339586336,2.10661006,341.1928707,1.679803848,312.7246094,125.1316528,3.852949637188796,40.47464476369131,822.1236201563455,2,9.7,11.5,61.8,WE10
0.13,59.91131592,2.184806824,6.383423596,2.105804443,336.2093466,1.706184387,296.7553711,124.8773804,3.590614691493704,36.660387102809096,852.4583892154259,2,9.5,16.8,61.8,WE10
0.13,60.23320007,2.19108963,6.395916739,2.107012987,339.0444316,1.692899704,278.2885742,125.0576172,4.142757948507753,38.72307180385138,820.8716334065075,2,9.1,15.8,61.8,WE10
0.13,60.34361267,2.196743011,6.461624946,2.10358882,338.8669209,1.687891006,271.0986328,124.5662231,3.6021141127302347,39.57732507100895,850.8063225165128,2,9.5,16.5,61.8,WE10
0.13,60.34361267,2.196743011,6.461624946,2.10358882,338.8669209,1.687891006,271.0986328,124.5662231,4.45,35.14168232152242,746.7958349840518,2,9.3,16.9,61.6,WE10
0.13,60.41906738,2.194545746,6.44582573,2.106811523,338.0551528,1.708055496,260.5029297,123.6282959,4.45,40.71558372458136,836.6108977687605,2,9.3,14.6,61.9,WE10
0.13,60.41906738,2.194545746,6.44582573,2.106811523,338.0551528,1.708055496,260.5029297,123.6282959,4.1113895818229125,37.34092213237434,862.8238250759684,2,9.6,16.0,61.9,WE10
0.13,60.39367676,2.202913284,6.42106197,2.107818604,339.6435938,1.678712845,269.2822266,123.5599365,4.000184256516705,37.73643395609753,867.357256010989,2,9.3,18.0,61.6,WE10
0.13,60.39367676,2.202913284,6.42106197,2.107818604,339.6435938,1.678712845,269.2822266,123.5599365,3.936493088201248,39.97090566117314,809.2013428688865,2,9.8,15.4,61.6,WE10
0.13,60.35223389,2.160778046,6.443695856,2.107818604,338.8796366,1.690364838,287.6733398,123.546936,3.8886346924414994,38.59826387759998,846.6700711652153,2,9.6,13.8,61.8,WE10
